Date,GOOGL,IBM,AMZN,FB,AAPL
2018-03-27,1006.94,151.91,1497.05,152.19,168.34
2018-03-26,1054.09,153.37,1555.86,160.06,172.77
2018-03-23,1026.55,148.89,1495.56,159.39,164.94
2018-03-22,1053.15,152.09,1544.1,164.89,168.845
2018-03-21,1094.0,156.69,1581.86,169.39,171.27
2018-03-20,1095.8,156.2,1586.51,168.15,175.24
2018-03-19,1100.07,157.35,1544.93,172.56,175.3
2018-03-16,1134.42,160.26,1571.68,185.09,178.02
2018-03-15,1150.61,159.61,1582.32,183.86,178.65
2018-03-14,1148.89,158.12,1591.0,184.19,178.44
2018-03-13,1139.91,159.32,1588.18,181.88,179.97
2018-03-12,1165.93,160.26,1598.39,184.76,181.72
2018-03-09,1160.84,159.31,1578.89,185.23,179.98
2018-03-08,1129.38,156.21,1551.86,182.34,176.94
2018-03-07,1115.04,158.32,1545.0,183.71,175.03
2018-03-06,1100.9,155.72,1537.64,179.78,176.67
2018-03-05,1094.76,156.95,1523.61,180.4,176.82
2018-03-02,1084.14,154.49,1500.25,176.62,176.21
2018-03-01,1071.41,153.81,1493.45,175.94,175.0
2018-02-28,1103.92,155.83,1512.45,178.32,178.12
2018-02-27,1117.51,156.55,1511.98,181.46,178.39
2018-02-26,1143.7,158.58,1521.95,184.93,178.97
2018-02-23,1128.09,155.52,1500.0,183.29,175.555
2018-02-22,1109.9,153.18,1484.76,178.99,172.6
2018-02-21,1113.75,153.96,1482.92,177.91,171.07
2018-02-20,1103.59,155.16,1468.35,176.01,171.85
2018-02-16,1095.5,156.18,1448.69,177.36,172.43
2018-02-15,1091.36,156.01,1461.76,179.96,172.99
2018-02-14,1072.7,154.76,1451.05,179.52,167.37
2018-02-13,1054.14,150.75,1414.51,173.15,164.34
2018-02-12,1054.56,151.4,1386.23,176.41,162.71
2018-02-09,1043.43,149.51,1338.99,175.98,155.97
2018-02-08,1005.6,147.59,1350.47,171.5499,155.32
2018-02-07,1055.41,153.85,1416.78,180.18,159.54
2018-02-06,1084.43,155.34,1442.84,185.31,163.03
2018-02-05,1068.76,152.53,1396.62,182.65,157.49
2018-02-02,1119.2,159.03,1431.0,190.28,160.37
2018-02-01,1181.59,162.4,1390.0,193.09,167.78
2018-01-31,1182.22,163.7,1451.65,186.89,167.43
2018-01-30,1177.37,163.62,1437.82,187.12,166.97
2018-01-29,1186.48,166.8,1417.68,185.98,167.96
2018-01-26,1187.56,167.34,1402.05,190.0,171.51
2018-01-25,1182.14,165.47,1377.95,187.48,171.11
2018-01-24,1171.29,165.37,1357.51,186.55,174.22
2018-01-23,1176.17,166.25,1362.54,189.35,177.04
2018-01-22,1164.16,162.6,1327.31,185.37,177.0
2018-01-19,1143.5,162.37,1294.58,181.29,178.46
2018-01-18,1135.97,169.12,1293.32,179.8,179.26
2018-01-17,1139.1,168.65,1295.0,177.6,179.1
2018-01-16,1130.7,163.85,1304.86,178.39,176.19
2018-01-12,1130.65,163.14,1305.2,179.37,177.09
2018-01-11,1111.88,164.2,1276.68,187.77,175.28
2018-01-10,1110.14,164.18,1254.33,187.84,174.29
2018-01-09,1112.79,163.83,1252.7,187.87,174.33
2018-01-08,1114.21,163.47,1246.87,188.28,174.35
2018-01-05,1110.29,162.49,1229.14,186.85,175.0
2018-01-04,1095.76,161.7,1209.59,184.33,173.03
2018-01-03,1091.52,158.49,1204.2,184.67,172.23
2018-01-02,1073.21,154.25,1189.01,181.42,172.26
2017-12-29,1053.4,153.42,1169.47,176.46,169.23
2017-12-28,1055.95,154.04,1186.1,177.92,171.08
2017-12-27,1060.2,153.13,1182.26,177.62,170.6
2017-12-26,1065.85,152.83,1176.76,175.99,170.57
2017-12-22,1068.86,152.5,1168.36,177.2,175.01
2017-12-21,1070.85,151.5,1174.76,177.45,175.01
2017-12-20,1073.56,152.95,1177.62,177.89,174.35
2017-12-19,1079.78,153.23,1187.38,179.51,174.54
2017-12-18,1085.09,153.33,1190.58,180.82,176.42
2017-12-15,1072.0,152.5,1179.14,180.18,173.87
2017-12-14,1057.47,154.0,1174.26,178.39,172.22
2017-12-13,1051.39,153.91,1164.13,178.3,172.27
2017-12-12,1048.77,156.74,1165.08,176.96,171.7
2017-12-11,1051.97,155.41,1168.92,179.04,172.67
2017-12-08,1049.38,154.81,1162.0,179.0,169.37
2017-12-07,1044.57,153.57,1159.79,180.14,169.452
2017-12-06,1032.72,154.1,1152.35,176.06,169.01
2017-12-05,1019.6,155.35,1141.57,172.83,169.64
2017-12-04,1011.87,156.46,1133.95,171.47,169.8
2017-12-01,1025.07,154.76,1162.35,175.1,171.05
2017-11-30,1036.17,153.97,1176.75,177.18,171.85
2017-11-29,1037.38,153.55,1161.27,175.13,169.48
2017-11-28,1063.29,152.47,1193.6,182.42,173.07
2017-11-27,1072.01,151.98,1195.83,183.03,174.09
2017-11-24,1056.52,151.84,1186.0,182.78,174.97
2017-11-22,1051.92,151.77,1156.16,180.87,174.96
2017-11-21,1050.3,151.95,1139.49,181.86,173.14
2017-11-20,1034.66,150.51,1126.31,178.74,169.98
2017-11-17,1035.89,148.97,1129.88,179.0,170.15
2017-11-16,1048.47,149.12,1137.29,179.59,171.1
2017-11-15,1036.41,147.1,1126.69,177.95,169.08
2017-11-14,1041.64,148.89,1136.84,178.07,171.34
2017-11-13,1041.2,148.4,1129.17,178.77,173.97
2017-11-10,1044.15,149.16,1125.35,178.46,174.67
2017-11-09,1047.72,150.3,1129.13,179.3,175.88
2017-11-07,1052.39,149.85444664032,1123.17,180.25,174.81
2017-11-06,1042.68,149.34948616601,1120.66,180.17,174.25
2017-11-03,1049.99,150.08217391304,1111.6,178.92,172.5
2017-11-02,1042.97,151.83468379447,1094.22,178.92,168.11
2017-11-01,1042.6,152.50796442688,1103.68,182.66,166.89
2017-10-31,1033.04,152.53766798419,1105.28,180.06,169.04
2017-10-30,1033.13,152.83470355731,1110.85,179.87,166.72
2017-10-27,1033.67,152.1614229249,1100.95,177.88,163.05
2017-10-26,991.42,152.08221343874,972.43,170.63,157.41
2017-10-25,991.46,151.98320158103,972.91,170.6,156.405
2017-10-24,988.49,154.33968379447,975.9,171.8,157.1
2017-10-23,985.54,157.97341897233,966.3,171.27,156.17
2017-10-20,1005.07,160.46851778656,982.91,174.98,156.16
2017-10-19,1001.84,159.31007905138,986.61,174.56,155.98
2017-10-18,1012.74,157.95361660079,997.0,176.03,159.76
2017-10-17,1011.0,145.09197628458,1009.13,176.11,160.47
2017-10-16,1009.35,145.37911067194,1006.34,174.52,159.88
2017-10-13,1007.87,145.64644268775,1002.94,173.74,156.99
2017-10-12,1005.65,145.57713438735,1000.93,172.55,156.0
2017-10-11,1005.65,146.16130434783,995.0,172.74,156.55
2017-10-10,987.8,147.03260869565,987.2,171.59,155.9
2017-10-09,992.31,145.9335770751,990.99,172.5,155.84
2017-10-06,993.64,145.03256916996,989.58,172.23,155.3
2017-10-05,985.19,145.27019762846,980.85,171.24,155.39
2017-10-04,966.78,145.03256916996,965.45,168.42,153.4508
2017-10-03,972.08,145.32960474308,957.1,169.96,154.48
2017-10-02,967.47,145.21079051383,959.19,169.47,153.81
2017-09-29,973.72,143.64640316206,961.35,170.81,154.12
2017-09-28,964.81,144.22067193676,956.4,168.73,153.28
2017-09-27,959.9,144.22067193676,950.87,167.68,154.23
2017-09-26,937.43,145.11177865613,938.6,164.21,153.14
2017-09-25,934.28,144.42859683794,939.79,162.87,150.55
2017-09-22,943.26,143.69590909091,955.1,170.54,151.89
2017-09-21,947.55,143.82462450593,964.65,171.11,153.39
2017-09-20,947.54,144.43849802372,973.21,172.17,156.07
2017-09-19,936.86,142.96322134387,969.86,172.52,158.73
2017-09-18,929.75,143.12164031621,974.19,170.01,158.67
2017-09-15,935.29,143.38897233202,986.79,171.58,159.88
2017-09-14,940.13,144.10185770751,992.21,170.96,158.28
2017-09-13,950.44,144.54741106719,999.6,173.05,159.65
2017-09-12,946.65,144.31968379447,982.58,172.96,160.82
2017-09-11,943.29,143.4285770751,977.96,173.51,161.5
2017-09-08,941.41,141.04239130435,965.9,170.95,158.63
2017-09-07,949.89,141.48794466403,979.47,173.21,161.26
2017-09-06,942.02,142.39885375494,967.8,172.09,161.91
2017-09-05,941.48,141.62656126482,965.27,170.72,162.08
2017-09-01,951.99,142.65628458498,978.25,172.02,164.05
2017-08-31,955.24,141.61666007905,980.6,172.0,164.0
2017-08-30,943.63,141.15130434783,967.59,169.92,163.35
2017-08-29,935.75,141.72557312253,954.06,168.05,162.91
2017-08-28,928.13,141.10179841897,946.02,167.24,161.47
2017-08-25,930.5,142.31964426877,945.26,166.32,159.86
2017-08-24,936.89,141.52754940711,952.45,167.74,159.27
2017-08-23,942.58,140.73545454545,958.0,168.71,159.98
2017-08-22,940.4,139.61662055336,966.9,169.64,159.78
2017-08-21,920.87,138.94333992095,953.29,167.78,157.21
2017-08-18,926.18,138.31956521739,958.47,167.41,157.5
2017-08-17,927.66,139.30968379447,960.57,166.91,157.87
2017-08-16,944.27,141.0918972332,978.18,170.0,160.95
2017-08-15,938.08,140.66614624506,982.74,171.0,161.6
2017-08-14,938.93,140.91367588933,983.3,170.75,159.85
2017-08-11,930.09,140.43841897233,967.99,168.08,157.48
2017-08-10,923.59,140.43841897233,956.92,167.4,155.27
2017-08-09,940.08,140.36911067194,982.01,171.18,160.40914817191
2017-08-08,944.19,140.70575098814,989.84,171.23,159.43310840282
2017-08-04,945.79,142.2244050793,987.58,169.62,155.75801988454
2017-08-03,940.3,142.00885417604,986.92,168.59,154.94133354715
2017-08-02,947.64,141.52876352787,995.89,169.25,156.50498909557
2017-08-01,946.56,142.36157383592,996.19,169.86,149.44364015394
2017-07-31,945.5,141.74431443113,987.78,169.25,148.24848941629
2017-07-28,958.33,141.37199923459,1020.04,172.45,148.89586273252
